date,open,close,ma5,ma10,ma5_up_10,ma5_down_10,ma5_up_10_earning,ma5_down_10_earning
2015-02-24,6606.771,6625.821,6471.773,6289.778,,,0.0,0.0
2015-02-17,6577.396,6568.067,6391.597,6243.682,,,0.0,0.0
2015-02-16,6391.44,6546.481,6306.319,6205.946,,,0.0,0.0
2015-02-13,6296.497,6358.961,6196.015,6153.579,True,,1014.531,0.0
2015-02-12,6232.133,6259.534,6129.292,6122.344,,,0.0,0.0
2015-02-11,6147.0,6224.941,6107.783,6110.23,,,0.0,0.0
2015-02-10,6005.121,6141.679,6095.768,6104.387,,,0.0,0.0
2015-02-09,6013.638,5994.961,6105.572,6113.837,,,0.0,0.0
2015-02-06,6147.639,6025.346,6111.144,6134.952,,,0.0,0.0
2015-02-05,6206.987,6151.99,6115.396,6138.057,,,0.0,0.0
2015-02-04,6208.456,6164.862,6112.677,6137.602,,True,0.0,-706.106
2015-02-03,6059.463,6190.702,6113.007,6129.244,,,0.0,0.0
2015-02-02,5989.658,6022.818,6122.102,6106.238,,,0.0,0.0
2015-01-30,6137.994,6046.61,6158.761,6078.313,,,0.0,0.0
2015-01-29,6116.133,6138.394,6160.718,6062.737,,,0.0,0.0
2015-01-28,6210.289,6166.513,6162.526,6027.971,,,0.0,0.0
2015-01-27,6230.559,6236.174,6145.48,5989.742,,,0.0,0.0
2015-01-26,6073.5,6206.112,6090.373,5948.694,,,0.0,0.0
2015-01-23,6150.995,6056.395,5997.865,5896.076,,,0.0,0.0
2015-01-22,6085.047,6147.437,5964.756,5857.139,,,0.0,0.0
2015-01-21,6001.625,6081.284,5893.416,5809.827,,,0.0,0.0
2015-01-20,5764.713,5960.639,5834.004,5768.067,,,0.0,0.0
2015-01-19,5735.959,5743.571,5807.014,5742.576,,,0.0,0.0
2015-01-16,5789.799,5890.847,5794.286,5727.198,,,0.0,0.0
2015-01-15,5782.477,5790.74,5749.523,5684.232,,,0.0,0.0
2015-01-14,5815.553,5784.224,5726.237,5644.297,,,0.0,0.0
2015-01-13,5682.679,5825.688,5702.13,5615.679,,,0.0,0.0
2015-01-12,5652.27,5679.931,5678.139,5589.672,,,0.0,0.0
2015-01-09,5662.749,5667.031,5660.109,5573.562,,,0.0,0.0
2015-01-08,5663.627,5674.312,5618.941,5552.187,,,0.0,0.0
2015-01-07,5696.444,5663.687,5562.356,5523.356,,,0.0,0.0
2015-01-06,5549.309,5705.732,5529.228,5502.309,True,,484.97,0.0
2015-01-05,5476.307,5589.784,5501.205,5498.55,,,0.0,0.0
2014-12-31,5388.725,5461.191,5487.015,5515.653,,,0.0,0.0
2014-12-30,5491.397,5391.388,5485.432,5548.845,,,0.0,0.0
2014-12-29,5577.319,5498.047,5484.355,5594.735,,,0.0,0.0
2014-12-26,5519.975,5565.614,5475.389,5633.148,,,0.0,0.0
2014-12-25,5470.348,5518.834,5495.896,5654.446,,,0.0,0.0
2014-12-24,5414.393,5453.278,5544.292,5675.208,,,0.0,0.0
2014-12-23,5433.043,5386.001,5612.258,5700.055,,True,0.0,-761.436
2014-12-22,5646.064,5453.219,5705.115,5710.354,,,0.0,0.0
2014-12-19,5749.176,5668.147,5790.907,5736.425,,,0.0,0.0
2014-12-18,5775.474,5760.814,5812.997,5739.381,,,0.0,0.0
2014-12-17,5839.421,5793.111,5806.124,5744.609,,,0.0,0.0
2014-12-16,5885.761,5850.282,5787.851,5735.078,,,0.0,0.0
2014-12-15,5758.895,5882.182,5715.594,5711.524,,,0.0,0.0
2014-12-12,5737.363,5778.594,5681.942,5678.742,,,0.0,0.0
2014-12-11,5680.466,5726.452,5665.766,5659.602,,,0.0,0.0
2014-12-10,5500.054,5701.747,5683.094,5646.845,,,0.0,0.0
2014-12-09,5693.364,5488.997,5682.304,5634.828,,,0.0,0.0
2014-12-08,5667.945,5713.921,5707.454,5643.338,,,0.0,0.0
2014-12-05,5827.099,5697.714,5675.542,5619.516,,,0.0,0.0
2014-12-04,5701.738,5813.091,5653.439,5592.28,,,0.0,0.0
2014-12-03,5615.529,5697.798,5610.597,5549.163,,,0.0,0.0
2014-12-02,5543.834,5614.748,5587.352,5521.201,,,0.0,0.0
2014-12-01,5578.652,5554.36,5579.222,5498.64,,,0.0,0.0
2014-11-28,5595.413,5587.196,5563.489,5481.5,,,0.0,0.0
2014-11-27,5601.576,5598.882,5531.12,5455.203,,,0.0,0.0
2014-11-26,5588.398,5581.572,5487.729,5426.783,,,0.0,0.0
2014-11-25,5483.487,5574.098,5455.05,5410.784,,,0.0,0.0
2014-11-24,5470.215,5475.699,5418.057,5390.377,True,,-22.48,0.0
2014-11-21,5387.225,5425.351,5399.51,5396.19,,,0.0,0.0
2014-11-20,5401.158,5381.925,5379.285,5403.241,,,0.0,0.0
2014-11-19,5389.705,5418.177,5365.837,5419.966,,,0.0,0.0
2014-11-18,5387.792,5389.135,5366.517,5429.611,,,0.0,0.0
2014-11-17,5333.672,5382.963,5362.697,5443.065,,,0.0,0.0
2014-11-14,5293.674,5324.227,5392.869,5462.316,,,0.0,0.0
