date,close,ma5,ma10,ma20,gt_ma,earning,earning2
2015-01-23,19.45,19.144,18.909,18.427,True,0.57,0.0
2015-01-22,19.28,19.02,18.807,18.337,True,0.73,0.0
2015-01-21,19.25,18.91,18.739,18.237,True,1.02,0.0
2015-01-20,19.11,18.806,18.667,18.135,True,0.8,0.0
2015-01-19,18.63,18.764,18.598,18.064,False,0.0,1.17
2015-01-16,18.83,18.674,18.545,18.044,True,0.62,0.0
2015-01-15,18.73,18.594,18.4,18.022,True,0.55,0.0
2015-01-14,18.73,18.568,18.252,18.023,True,0.52,0.0
2015-01-13,18.9,18.528,18.107,18.032,True,0.21,0.0
2015-01-12,18.18,18.432,17.996,17.986,False,0.0,0.45
2015-01-09,18.43,18.416,17.944,17.975,True,0.4,0.0
2015-01-08,18.6,18.206,17.867,17.95,True,0.13,0.0
2015-01-07,18.53,17.936,17.735,17.902,True,0.2,0.0
2015-01-06,18.42,17.686,17.602,17.883,True,0.48,0.0
2015-01-05,18.1,17.56,17.53,17.888,True,0.08,0.0
2014-12-31,17.38,17.472,17.542,17.926,False,0.0,1.05
2014-12-30,17.25,17.528,17.643,17.984,False,0.0,1.35
2014-12-29,17.28,17.534,17.794,18.059,False,0.0,1.25
2014-12-26,17.79,17.518,17.956,18.119,True,0.63,0.0
2014-12-25,17.66,17.5,17.976,18.147,True,0.44,0.0
2014-12-24,17.66,17.612,18.005,18.185,True,-0.28,0.0
2014-12-23,17.28,17.758,18.032,18.242,False,0.0,-0.03
2014-12-22,17.2,18.054,18.069,18.306,False,0.0,0.08
2014-12-19,17.7,18.394,18.164,18.396,False,0.0,0.09
2014-12-18,18.22,18.452,18.246,18.463,False,0.0,-0.56
2014-12-17,18.39,18.398,18.309,18.536,False,0.0,-0.73
2014-12-16,18.76,18.306,18.324,18.612,True,-1.48,0.0
2014-12-15,18.9,18.084,18.324,18.667,True,-1.7,0.0
2014-12-12,17.99,17.934,18.282,18.73,True,-0.29,0.0
2014-12-11,17.95,18.04,18.317,18.828,False,0.0,0.27
2014-12-10,17.93,18.22,18.365,18.956,False,0.0,0.46
2014-12-09,17.65,18.342,18.451,19.081,False,0.0,1.11
2014-12-08,18.15,18.564,18.543,19.236,False,0.0,0.75
2014-12-05,18.52,18.63,18.628,19.37,False,0.0,-0.53
2014-12-04,18.85,18.594,18.679,19.485,True,-0.9,0.0
2014-12-03,18.54,18.51,18.763,19.57,True,-0.61,0.0
2014-12-02,18.76,18.56,18.899,19.653,True,-1.11,0.0
2014-11-19,18.48,18.522,19.009,19.721,False,0.0,-0.33
2014-11-18,18.34,18.626,19.178,19.795,False,0.0,0.18
2014-11-17,18.43,18.764,19.339,19.889,False,0.0,0.42
2014-11-14,18.79,19.016,19.546,19.97,False,0.0,-0.25
2014-11-13,18.57,19.238,19.71,20.012,False,0.0,0.19
2014-11-12,19.0,19.496,19.928,20.084,False,0.0,-0.52
2014-11-11,19.03,19.73,20.112,20.175,False,0.0,-0.69
2014-11-10,19.69,19.914,20.29,20.246,False,0.0,-1.26
2014-11-07,19.9,20.076,20.377,20.284,False,0.0,-1.11
2014-11-06,19.86,20.182,20.407,20.313,False,0.0,-1.29
2014-11-05,20.17,20.36,20.433,20.331,False,0.0,-1.17
2014-11-04,19.95,20.494,20.411,20.33,False,0.0,-0.92
2014-11-03,20.5,20.666,20.439,20.301,False,0.0,-0.81
2014-10-31,20.43,20.678,20.393,20.242,False,0.0,-0.53
2014-10-30,20.75,20.632,20.314,20.184,True,-0.89,0.0
2014-10-29,20.84,20.506,20.239,20.123,True,-0.67,0.0
2014-10-28,20.81,20.328,20.237,20.061,True,-0.86,0.0
2014-10-27,20.56,20.212,20.202,19.992,True,-0.06,0.0
